Kategória/kategorie (SK_CZ);Hláška_SK_CZ;Category (EN);Hláška_EN
Potraviny 🛒 / Potraviny 🛒;Pozor, chladnička zvykla viac ako 6500 Kč. Dúfam, že ti aspoň poďakovala! / Pozor, lednička spolykala víc než 6500 Kč. Doufám, že ti aspoň poděkovala!
Potraviny 🛒 / Potraviny 🛒;Tvoj košík praskal vo švíkoch. Chutí ti žiť naplno! 😋 / Tvůj košík praskal ve švech. Umíš si užívat! 😋
Potraviny 🛒 / Potraviny 🛒;Nakupujeme jak pred Vianocami. To jeme päť dní v kuse? 🎄 / Nakupujeme jako před Vánoci. To budeme jíst celý týden? 🎄
Potraviny 🛒 / Potraviny 🛒;Potraviny na úrovni Michelin – aj šéfkuchár by ti závidel! 👨‍🍳 / Potraviny na úrovni Michelin – i šéfkuchař by ti záviděl! 👨‍🍳
Drogérie 🧴 / Drogérie 🧴;Tvoja kúpeľňa by si zaslúžila vlastný e-shop! / Tvoje koupelna by si zasloužila vlastní e-shop!
Drogérie 🧴 / Drogérie 🧴;Zásoby na rok? Alebo si si otvoril wellness? / Zásoby na rok? Nebo sis otevřel wellness?
Drogérie 🧴 / Drogérie 🧴;Pena do kúpeľa, šampón, maska... už len more chýba! / Pěna do koupele, šampon, maska... chybí už jen moře!
Drogérie 🧴 / Drogérie 🧴;Voňavý nákup, nevoňavý účet. / Voňavý nákup, nevoňavý účet.
Odevy 👕 / Oblečení 👕;Nový outfit, nový účet. Fashion má svoju cenu! / Nový outfit, nový účet. Móda má svou cenu!
Odevy 👕 / Oblečení 👕;Šatník sa raduje, karta plače. / Šatník se raduje, karta pláče.
Odevy 👕 / Oblečení 👕;Tvoje oblečenie má viac výjazdov ako ty. / Tvoje oblečení má víc výběhů než ty.
Odevy 👕 / Oblečení 👕;Model dňa: elegantná peňaženka v mínuse. / Model dne: elegantní peněženka v mínusu.
Doprava 🚌 / Doprava 🚌;Cestovanie ťa posúva... aj k červenej na účte. / Cestování tě posouvá... i do červených čísel.
Doprava 🚌 / Doprava 🚌;Benzín, lístok, taxík... výdavky idú na plný plyn. / Benzín, jízdenka, taxík... výdaje jedou na plný plyn.
Doprava 🚌 / Doprava 🚌;Niekto jazdí na vlne, ty na mínuse. / Někdo jede na vlně, ty na mínusu.
Doprava 🚌 / Doprava 🚌;Auto ťa vezme kam chceš. Ale lacné to nebude. / Auto tě vezme kam chceš. Ale levné to nebude.
Reštaurácie a bary 🍽️ / Restaurace a bary 🍽️;Večera bola super… až kým neprišiel účet. / Večeře byla super… než přišel účet.
Reštaurácie a bary 🍽️ / Restaurace a bary 🍽️;Za túto kávu si mohol mať celý balík doma. / Za tuhle kávu bys měl balení domů.
Reštaurácie a bary 🍽️ / Restaurace a bary 🍽️;Zážitok na jazyku, výbuch v peňaženke. / Zážitek na jazyku, výbuch v peněžence.
Reštaurácie a bary 🍽️ / Restaurace a bary 🍽️;Gastro výlet = ekonomická túra. / Gastro výlet = ekonomická túra.
Zábava 🎉 / Zábava 🎉;Zábava niečo stojí… najmä tvoj účet. / Zábava něco stojí… hlavně tvůj účet.
Zábava 🎉 / Zábava 🎉;Párty bola top! Ale aj tá suma. / Párty byla top! Ale i ta částka.
Zábava 🎉 / Zábava 🎉;Spomienky ostanú. Peniaze nie. / Vzpomínky zůstanou. Peníze ne.
Zábava 🎉 / Zábava 🎉;Smiech predĺži život, skráti rozpočet. / Smích prodlouží život, zkrátí rozpočet.
Obuv 👟 / Obuv 👟;Krok vpred? Aj s cenou dvoch! / Krok vpřed? I s cenou za dva!
Obuv 👟 / Obuv 👟;Tenisky snov, cena nočná mora. / Tenisky snů, cena noční můra.
Obuv 👟 / Obuv 👟;Tvoje nohy kráčajú v štýle, účet v mínuse. / Tvoje nohy kráčí ve stylu, účet v mínusu.
Obuv 👟 / Obuv 👟;Botník sa teší, peňaženka zúri. / Botník se raduje, peněženka zuří.
Elektronika 💻 / Elektronika 💻;Nový gadget, stará dilema: jesť alebo mať mobil? / Nový gadget, stará dilema: jíst nebo mít mobil?
Elektronika 💻 / Elektronika 💻;Elektronika na úrovni, účet na kolenách. / Elektronika na úrovni, účet na kolenou.
Elektronika 💻 / Elektronika 💻;Tvoj počítač je smart. Tvoja karta trpí. / Tvůj počítač je chytrý. Tvoje karta trpí.
Elektronika 💻 / Elektronika 💻;Technológie napredujú, saldo cúva. / Technologie postupují, zůstatek couvá.
Domácnosť / nábytok 🛋️ / Domácnost / nábytek 🛋️;Nová lampa? Tvoja karta práve oslepla. / Nová lampa? Tvoje karta právě oslepla.
Domácnosť / nábytok 🛋️ / Domácnost / nábytek 🛋️;Bývaš štýlovo, míňaš kráľovsky. / Bydlíš stylově, utrácíš královsky.
Domácnosť / nábytok 🛋️ / Domácnost / nábytek 🛋️;Tvoja obývačka žiari. Tvoj účet tiež – na červeno. / Tvoje obývák září. Tvůj účet taky – červeně.
Domácnosť / nábytok 🛋️ / Domácnost / nábytek 🛋️;Domácnosť snov, rozpočet z hororu. / Domácnost snů, rozpočet z hororu.
Šport a voľný čas 🏀 / Sport a volný čas 🏀;Členstvo vo fitku? Tvoja peňaženka si tiež zaslúži tréning! / Členství ve fitku? Tvoje peněženka si taky zaslouží trénink!
Šport a voľný čas 🏀 / Sport a volný čas 🏀;Voľný čas je fajn... až kým nevidíš výpis z účtu. / Volný čas je fajn… dokud nevidíš výpis z účtu.
Šport a voľný čas 🏀 / Sport a volný čas 🏀;Si v pohybe! Aj tvoje peniaze – smerom von. / Jsi v pohybu! I tvoje peníze – směrem ven.
Šport a voľný čas 🏀 / Sport a volný čas 🏀;Relax, šport, zábava – výborné pre telo, drahšie pre konto. / Relax, sport, zábava – výborné pro tělo, dražší pro konto.
Zdravie a lekáreň 💊 / Zdraví a lékárna 💊;Zdravie nadovšetko... ale tie ceny v lekárni sú na infarkt. / Zdraví nade vše... ale ty ceny v lékárně jsou k infarktu.
Zdravie a lekáreň 💊 / Zdraví a lékárna 💊;Pre istotu si k účtenke z lekárne zober aj liek na šok. / K účtence si vezmi i prášek na šok.
Zdravie a lekáreň 💊 / Zdraví a lékárna 💊;Prevencia je lacnejšia než liečba... no aj tá vie stáť majland! / Prevence je levnější než léčba… ale i ta něco stojí!
Zdravie a lekáreň 💊 / Zdraví a lékárna 💊;Kašeľ prešiel, peňaženka zostala v kóme. / Kašel přešel, peněženka zůstala v kómatu.
Cestovanie / dovolenka ✈️ / Cestování / dovolená ✈️;Kde sa letí? Na účet priamo do mínusu? / Kam se letí? Na účet rovnou do mínusu?
Cestovanie / dovolenka ✈️ / Cestování / dovolená ✈️;Zážitky sú na celý život... ale tie výdavky tiež nezabudneš. / Zážitky na celý život… ale výdaje taky nezapomeneš.
Cestovanie / dovolenka ✈️ / Cestování / dovolená ✈️;All inclusive? Aj účet to pochopil ako „dáme všetko preč“. / All inclusive? I účet to pochopil jako „všechno pryč“.
Cestovanie / dovolenka ✈️ / Cestování / dovolená ✈️;Cestovanie rozširuje obzory – a zmenšuje zostatok. / Cestování rozšiřuje obzory – a zmenšuje zůstatek.
Vzdelávanie / kurzy 📚 / Vzdělávání / kurzy 📚;Učíš sa… aj tvoja peňaženka sa učí, ako prežiť s málo. / Učíš se… i tvoje peněženka se učí, jak přežít s málem.
Vzdelávanie / kurzy 📚 / Vzdělávání / kurzy 📚;Každá hodina kurzu stojí... ale múdrosť je na nezaplatenie! / Každá hodina kurzu něco stojí… ale moudrost je k nezaplacení!
Vzdelávanie / kurzy 📚 / Vzdělávání / kurzy 📚;Vedieť je fajn – ale bankový účet by si prial radšej nevedieť. / Vědět je fajn – ale účet by radši nevěděl.
Vzdelávanie / kurzy 📚 / Vzdělávání / kurzy 📚;Investícia do seba sa vracia. Zatiaľ ale len v podobe e-mailu „ďakujeme za platbu“. / Investice do sebe se vrací. Zatím ale jen jako e-mail „děkujeme za platbu“.
Groceries 🛒;Careful, your fridge just swallowed over 6500 CZK. I hope it at least said thank you!
Groceries 🛒;Your shopping cart was bursting at the seams. You're living the good life! 😋
Groceries 🛒;Shopping like it’s Christmas already? Are we eating non-stop for a week? 🎄
Groceries 🛒;Groceries worthy of Michelin stars – even a top chef would be jealous! 👨‍🍳
Drugstore 🧴;Looks like you're ready to open your own spa salon!
Drugstore 🧴;So many hygiene products – are you planning a clean start to the week?
Drugstore 🧴;Mirror mirror on the wall... who’s the most fragrant of them all?
Drugstore 🧴;With this many wet wipes, you could survive a camping trip with style!
Clothing 👕;New outfits? You're ready to walk the runway!
Clothing 👕;Your closet is officially in expansion mode!
Clothing 👕;Fashion icon alert! Are you filming a lookbook?
Clothing 👕;Out with the old, in with the new – your wardrobe is thriving!
Transport 🚌;Fuel up and full speed ahead! Just don't forget your seatbelt.
